DATE and TIME (UTC),LAT,LON,MAG,DEPTHkm,LOCATION (Shows interactive map),IRIS ID (Other info)
29-MAR-2020 13:33:47,-24.00,-174.56,5.0,10,SOUTH OF TONGA ISLANDS,11204510
29-MAR-2020 06:11:55,64.61,-138.78,4.1,10,"SOUTHERN YUKON TERRITORY, CANADA",11204440
29-MAR-2020 04:41:09,41.19,72.89,4.5,10,KYRGYZSTAN,11204417
29-MAR-2020 04:34:25,37.22,20.58,4.5,10,IONIAN SEA,11204415
29-MAR-2020 04:06:07,-58.63,-25.24,4.9,35,SOUTH SANDWICH ISLANDS REGION,11204404
29-MAR-2020 03:39:47,24.20,124.18,4.7,10,"SOUTHWESTERN RYUKYU ISL., JAPAN",11204398
29-MAR-2020 03:38:58,24.09,124.13,4.6,10,"SOUTHWESTERN RYUKYU ISL., JAPAN",11204401
29-MAR-2020 03:00:57,13.21,-89.09,4.2,73,EL SALVADOR,11204388
29-MAR-2020 02:46:01,-5.17,144.19,5.2,98,"NEW GUINEA, PAPUA NEW GUINEA",11204383
28-MAR-2020 23:10:38,-7.14,124.06,5.3,597,BANDA SEA,11204303
28-MAR-2020 23:01:11,-24.26,-67.11,4.4,182,CHILE-ARGENTINA BORDER REGION,11204304
28-MAR-2020 20:30:52,2.29,-95.51,4.5,10,GALAPAGOS ISLANDS REGION,11204278
28-MAR-2020 17:48:18,-17.84,168.22,5.9,99,VANUATU ISLANDS,11204241
28-MAR-2020 16:42:02,-35.70,-73.73,4.8,11,OFF COAST OF CENTRAL CHILE,11204224
28-MAR-2020 15:43:17,-1.77,120.19,5.8,10,"SULAWESI, INDONESIA",11204207
28-MAR-2020 15:11:39,-21.07,-173.87,4.7,10,TONGA ISLANDS,11204225
28-MAR-2020 10:25:13,-37.57,-74.13,4.2,20,OFF COAST OF CENTRAL CHILE,11204454
28-MAR-2020 09:45:01,-11.09,115.19,4.5,26,"SOUTH OF BALI, INDONESIA",11204132
28-MAR-2020 07:38:53,36.75,71.34,4.4,177,AFGHANISTAN-TAJIKISTAN BORD REG.,11204099
28-MAR-2020 05:55:10,6.79,-73.06,4.9,163,NORTHERN COLOMBIA,11204077
28-MAR-2020 05:32:52,-1.28,150.20,5.0,10,"NEW IRELAND REGION, P.N.G.",11204069
28-MAR-2020 04:27:59,-6.63,146.92,4.3,87,"EASTERN NEW GUINEA REG., P.N.G.",11204058
28-MAR-2020 03:18:37,-32.42,-72.05,4.5,10,OFF COAST OF CENTRAL CHILE,11204041
28-MAR-2020 01:36:51,37.57,72.42,4.3,194,TAJIKISTAN,11204008
28-MAR-2020 00:57:52,41.93,142.42,4.9,58,"HOKKAIDO, JAPAN REGION",11203999
27-MAR-2020 23:41:13,72.10,127.39,4.3,10,"NORTHCENTRAL SIBERIA, RUSSIA",11203987
27-MAR-2020 21:53:56,-11.00,115.26,4.5,10,"SOUTH OF BALI, INDONESIA",11203928
27-MAR-2020 17:42:49,-28.82,-63.16,5.2,591,"SANTIAGO DEL ESTERO PROV., ARG.",11203810
27-MAR-2020 14:32:47,0.21,133.61,5.6,10,"IRIAN JAYA REGION, INDONESIA",11203701
27-MAR-2020 10:43:43,31.83,48.69,4.5,10,WESTERN IRAN,11203651
27-MAR-2020 09:36:54,14.19,-91.14,4.3,74,GUATEMALA,11203631
27-MAR-2020 06:40:42,28.25,57.12,5.3,10,SOUTHERN IRAN,11203603
27-MAR-2020 06:27:19,-2.85,139.44,4.5,108,NEAR NORTH COAST OF IRIAN JAYA,11203601
27-MAR-2020 05:27:43,27.66,140.02,4.1,485,"BONIN ISLANDS, JAPAN REGION",11203583
27-MAR-2020 02:49:04,-3.05,139.05,4.5,35,"IRIAN JAYA, INDONESIA",11203540
27-MAR-2020 02:25:31,18.93,145.43,4.4,229,MARIANA ISLANDS,11203536
27-MAR-2020 01:10:00,-35.32,-74.15,4.6,10,OFF COAST OF CENTRAL CHILE,11203507
26-MAR-2020 23:45:58,14.72,-93.24,4.7,35,"NEAR COAST OF CHIAPAS, MEXICO",11203467
26-MAR-2020 23:28:57,49.12,157.86,4.4,10,EAST OF KURIL ISLANDS,11203452
26-MAR-2020 21:58:59,-4.10,120.04,4.3,31,"SULAWESI, INDONESIA",11203419
26-MAR-2020 21:36:42,-2.95,139.11,5.7,38,NEAR NORTH COAST OF IRIAN JAYA,11203378
26-MAR-2020 20:34:17,-35.52,-94.27,4.7,10,WEST CHILE RISE,11203361
26-MAR-2020 20:24:53,-56.60,-26.88,5.3,68,SOUTH SANDWICH ISLANDS REGION,11203277
26-MAR-2020 15:38:04,5.58,125.05,6.1,59,"MINDANAO, PHILIPPINES",11203121
26-MAR-2020 15:16:27,31.71,-104.04,5.0,7,WESTERN TEXAS,11203109
26-MAR-2020 08:03:42,38.78,70.92,4.4,10,AFGHANISTAN-TAJIKISTAN BORD REG.,11203004
26-MAR-2020 07:38:30,37.32,20.41,4.6,10,IONIAN SEA,11202998
26-MAR-2020 07:16:59,49.72,154.35,4.7,147,KURIL ISLANDS,11202996
26-MAR-2020 07:12:45,5.37,127.51,4.8,46,PHILIPPINE ISLANDS REGION,11202994
26-MAR-2020 07:09:26,35.94,5.80,5.0,10,NORTHERN ALGERIA,11202993
26-MAR-2020 06:49:22,-3.05,139.00,4.8,73,"IRIAN JAYA, INDONESIA",11202985
26-MAR-2020 05:58:34,-19.93,-11.79,5.1,10,SOUTHERN MID-ATLANTIC RIDGE,11202973
26-MAR-2020 05:52:48,22.71,143.21,5.4,105,"VOLCANO ISLANDS, JAPAN REGION",11202971
26-MAR-2020 05:39:21,38.45,44.40,4.4,10,TURKEY-IRAN BORDER REGION,11202978
26-MAR-2020 05:22:07,48.85,157.84,4.6,10,EAST OF KURIL ISLANDS,11202966
26-MAR-2020 04:44:31,40.77,70.51,5.0,10,TAJIKISTAN,11202952
26-MAR-2020 04:26:37,-8.91,-108.64,4.6,10,CENTRAL EAST PACIFIC RISE,11202957
26-MAR-2020 02:58:49,49.91,159.03,4.4,35,EAST OF KURIL ISLANDS,11202920
25-MAR-2020 23:15:19,2.30,-101.23,4.6,10,GALAPAGOS TRIPLE JUNCTION REGION,11202842
25-MAR-2020 22:18:20,38.55,142.36,4.2,42,"NEAR EAST COAST OF HONSHU, JAPAN",11202812
25-MAR-2020 22:12:04,-5.88,130.06,4.5,187,BANDA SEA,11202802
25-MAR-2020 19:56:07,55.89,160.23,5.0,188,"KAMCHATKA PENINSULA, RUSSIA",11202747
25-MAR-2020 19:37:31,18.74,-81.39,4.0,10,NORTH OF HONDURAS,11202806
25-MAR-2020 17:21:45,49.24,158.13,5.1,35,EAST OF KURIL ISLANDS,11202637
25-MAR-2020 16:42:52,-4.92,130.62,4.3,10,BANDA SEA,11202797
25-MAR-2020 11:57:38,38.79,-122.77,4.06,2,NORTHERN CALIFORNIA,11202444
25-MAR-2020 10:54:36,-4.60,139.06,4.5,49,"IRIAN JAYA, INDONESIA",11202439
25-MAR-2020 09:49:45,39.30,20.55,4.3,10,GREECE-ALBANIA BORDER REGION,11202427
25-MAR-2020 08:48:18,-5.78,148.19,4.8,145,"NEW BRITAIN REGION, P.N.G.",11202414
25-MAR-2020 08:01:17,49.23,158.01,4.5,10,EAST OF KURIL ISLANDS,11202406
25-MAR-2020 06:52:38,-35.75,-73.51,5.1,10,OFF COAST OF CENTRAL CHILE,11202394
25-MAR-2020 05:53:21,-35.73,-73.51,4.6,22,OFF COAST OF CENTRAL CHILE,11202386
25-MAR-2020 05:51:22,-41.87,174.17,4.8,21,"COOK STRAIT, NEW ZEALAND",11202383
25-MAR-2020 02:58:37,40.32,-122.43,5.45,65,NORTHERN CALIFORNIA,11202715
25-MAR-2020 02:49:21,48.99,157.69,7.5,57,EAST OF KURIL ISLANDS,11202357
25-MAR-2020 02:36:10,13.22,-87.66,4.4,202,HONDURAS,11202356
25-MAR-2020 02:20:06,2.87,128.11,4.7,127,"HALMAHERA, INDONESIA",11202353
25-MAR-2020 01:43:35,2.78,128.20,4.7,134,"HALMAHERA, INDONESIA",11202349
24-MAR-2020 21:13:03,-23.33,-67.14,4.2,229,CHILE-ARGENTINA BORDER REGION,11202267
24-MAR-2020 19:30:57,-6.08,147.73,4.9,35,"EASTERN NEW GUINEA REG., P.N.G.",11202121
24-MAR-2020 19:04:10,30.50,140.24,4.8,35,"SOUTHEAST OF HONSHU, JAPAN",11202119
24-MAR-2020 17:01:31,69.56,-144.24,4.0,6,NORTHERN ALASKA,11203679
24-MAR-2020 16:54:48,2.50,-95.22,4.9,10,GALAPAGOS ISLANDS REGION,11202022
24-MAR-2020 15:35:53,-21.26,-68.15,4.6,142,CHILE-BOLIVIA BORDER REGION,11202555
24-MAR-2020 15:00:31,7.97,92.52,4.5,10,"NICOBAR ISLANDS, INDIA REGION",11201949
24-MAR-2020 14:39:43,38.10,94.67,4.8,10,"QINGHAI, CHINA",11201965
24-MAR-2020 13:31:02,-28.82,-69.11,4.2,151,CHILE-ARGENTINA BORDER REGION,11202755
24-MAR-2020 10:35:57,-7.86,123.00,4.3,232,BANDA SEA,11202092
24-MAR-2020 09:42:18,69.55,-144.19,4.0,3,NORTHERN ALASKA,11201864
24-MAR-2020 07:38:37,-23.54,-174.70,4.9,10,TONGA ISLANDS REGION,11202081
24-MAR-2020 07:11:13,51.16,-175.12,4.1,10,"ANDREANOF ISLANDS, ALEUTIAN IS.",11201842
24-MAR-2020 06:52:15,-30.57,-71.93,5.0,10,NEAR COAST OF CENTRAL CHILE,11201836
24-MAR-2020 06:38:33,-20.68,-178.21,4.4,445,FIJI ISLANDS REGION,11201838
24-MAR-2020 02:56:51,-10.70,162.05,4.6,82,SOLOMON ISLANDS,11201791
24-MAR-2020 00:53:08,56.02,-149.21,4.1,10,GULF OF ALASKA,11201752
23-MAR-2020 23:34:46,-19.28,-172.75,4.4,35,TONGA ISLANDS REGION,11204294
23-MAR-2020 22:47:43,46.30,93.87,4.2,10,MONGOLIA,11202325
23-MAR-2020 22:16:44,-18.82,-70.06,4.9,76,NEAR COAST OF NORTHERN CHILE,11201700
23-MAR-2020 20:56:47,15.83,119.30,4.6,7,"LUZON, PHILIPPINES",11201629
23-MAR-2020 20:33:38,-25.28,179.70,5.3,498,SOUTH OF FIJI ISLANDS,11201603
23-MAR-2020 20:23:21,15.82,119.02,4.8,10,"LUZON, PHILIPPINES",11201620
23-MAR-2020 17:46:12,-44.47,-79.08,5.1,10,OFF COAST OF SOUTHERN CHILE,11201492
23-MAR-2020 17:43:29,-2.05,140.61,4.6,10,NEAR NORTH COAST OF IRIAN JAYA,11201516
23-MAR-2020 17:28:14,-2.11,140.73,4.6,10,NEAR NORTH COAST OF IRIAN JAYA,11201503
23-MAR-2020 17:25:50,-2.19,140.62,4.6,10,NEAR NORTH COAST OF IRIAN JAYA,11201473
23-MAR-2020 16:52:38,18.94,-80.87,4.3,9,NORTH OF HONDURAS,11201451
23-MAR-2020 16:33:16,-24.28,-67.31,4.7,155,CHILE-ARGENTINA BORDER REGION,11201425
23-MAR-2020 16:24:30,-6.19,147.47,4.7,47,"EASTERN NEW GUINEA REG., P.N.G.",11201434
